Property Type,Location/Suburb,Bedrooms,Bathrooms,Parking,Land Size(m^2),Sale Date,Year Built,First Sold Year,No of Primary Schools (within 1 km),No of Secondary Schools (within 1 km),Agent,Sold Price
House,Fitzroy North,2,1,,153,2-Sep-25,,1981,5,1,Nelson Alexander,1492000
Apartment,Fitzroy North,2,1,1,6315,2-Sep-25,,1992,3,0,Whitefox,840000
Townhouse,Fitzroy North,3,2,1,615,21-Aug-25,,1977,4,1,JellisCraig,1391000
House,Fitzroy North,3,1,,178,23-Aug-25,1890,2004,4,1,JellisCraig,1980000
Townhouse,Fitzroy North,2,2,1,557,2-Aug-25,1995,1995,4,2,woodards,1300000
House,Fitzroy North,2,1,,141,3-Jul-25,,1981,4,1,Nelson Alexander,1465000
Townhouse,Fitzroy North,2,1,1,3808,9-Jul-25,,2025,4,0,JellisCraig,967000
Townhouse,Fitzroy North,3,2,1,5993,17-Jul-25,,2025,5,1,Walshe & Whitelock,1290000
Apartment,Fitzroy North,1,1,1,,29-Jul-25,,2025,4,2,Nelson Alexander,496000
House,Fitzroy North,3,1,1,225,5-Jul-25,,1997,4,0,Nelson Alexander,1133000
House,Fitzroy North,2,1,,179,26-Jun-25,,1976,4,0,Nelson Alexander,1130000
House,Fitzroy North,4,1,2,444,13-Jun-25,,2025,5,1,woodards,1850000
Apartment,Fitzroy North,1,1,1,1564,13-Jun-25,,2014,5,1,JellisCraig,400000
Apartment,Fitzroy North,1,1,1,528,15-Jun-25,,1989,3,1,woodards,391000
House,Fitzroy North,3,1,,96,14-Jun-25,,1975,4,0,Nelson Alexander,2060000
House,Fitzroy North,2,1,,176,10-May-25,,1977,3,1,JellisCraig,1590000
Townhouse,Fitzroy North,2,1,1,790,3-May-25,,2001,3,1,JellisCraig,890000
Apartment,Fitzroy North,2,1,1,896,1-May-25,,2020,5,0,Nelson Alexander,655000
House,Fitzroy North,3,2,1,475,24-May-25,,1996,3,1,JellisCraig,2500000
House,Fitzroy North,2,1,1,147,31-May-25,,1989,5,1,Nelson Alexander,1200000
Apartment,Fitzroy North,2,1,1,1063,16-Apr-25,,2018,4,1,Nelson Alexander,513000
Apartment,Fitzroy North,1,1,1,922,8-Apr-25,,1976,5,1,JellisCraig,445000
House,Fitzroy North,3,2,2,840,5-Apr-25,,2018,5,2,Nelson Alexander,1475000
Apartment,Fitzroy North,1,1,,4298,28-Apr-25,,2012,5,1,belle PROPERTY,287000
House,Fitzroy North,3,1,2,117,10-Apr-25,,2018,4,1,Nelson Alexander,1950000
Apartment,Fitzroy North,1,1,1,1293,27-Mar-25,,1983,4,1,woodards,515000
House,Fitzroy North,4,2,,166,22-Mar-25,1920,1976,5,1,Nelson Alexander,2410000
House,Fitzroy North,3,3,2,345,12-Mar-25,,2002,5,2,Nelson Alexander,1950000
Apartment,Fitzroy North,2,2,2,4298,21-Mar-25,,2010,5,1,woodards,745000
House,Fitzroy North,3,2,1,197,1-Mar-25,,2025,5,1,JellisCraig,2425000
House,Fitzroy North,3,1,,342,22-Feb-25,,1980,4,0,Nelson Alexander,1750000
House,Fitzroy North,2,1,,111,8-Feb-25,,2025,5,1,JellisCraig,991000
Apartment,Fitzroy North,2,2,1,,5-Feb-25,,,5,0,Nelson Alexander,610000
Apartment,Fitzroy North,1,1,1,,4-Feb-25,,,5,1,Nelson Alexander,470000
House,Fitzroy North,2,1,,166,24-Jan-25,1900,1976,5,1,JellisCraig,1306500
Apartment,Fitzroy North,2,1,1,1564,9-Jan-25,,2014,5,0,Nelson Alexander,578000
Apartment,Fitzroy North,1,1,1,,8-Jan-25,,,5,0,Nelson Alexander,395000
Apartment,Fitzroy North,1,1,,62,10-Dec-24,,2015,5,1,belle PROPERTY,401500
House,Fitzroy North,3,2,1,158,7-Dec-24,,1981,5,1,Nelson Alexander,2250000
House,Fitzroy North,2,1,,128,5-Dec-24,,1978,5,1,woodards,1120000
House,Fitzroy North,3,2,,177,14-Dec-24,,2019,5,1,Nelson Alexander,2520000
Apartment,Fitzroy North,2,1,1,4298,24-Dec-24,,2010,5,1,Nelson Alexander,632000
House,Fitzroy North,2,1,,147,25-Nov-24,,2024,5,1,Nelson Alexander,1460000
Apartment,Fitzroy North,1,1,1,896,26-Nov-24,,2012,5,2,belle PROPERTY,390000
House,Fitzroy North,2,1,,114,23-Nov-24,,2024,5,1,JellisCraig,885000
House,Fitzroy North,2,1,,229,18-Nov-24,,2024,5,1,woodards,1200000
House,Fitzroy North,2,1,,133,6-Nov-24,,1996,5,1,Nelson Alexander,1335000
House,Fitzroy North,2,1,,175,23-Nov-24,,1988,5,1,Nelson Alexander,1590000
Apartment,Fitzroy North,2,1,1,896,15-Nov-24,,2012,5,2,RT Edgar,583500
House,Fitzroy North,2,1,,138,23-Nov-24,,1991,4,0,RT Edgar,1180000
House,Carlton North,3,1,,134,30-Aug-25,,2025,3,0,Nelson Alexander,1627000
House,Carlton North,2,1,,141,15-Aug-25,,2014,3,1,JellisCraig,1160000
Apartment,Carlton North,2,1,1,1112,5-Aug-25,,2025,3,1,Nelson Alexander,904000
House,Carlton North,2,1,,148,30-Aug-25,,2025,5,0,RT Edgar,1270000
House,Carlton North,4,1,3,550,9-Aug-25,1900,2025,3,1,Nelson Alexander,2900000
House,Carlton North,2,1,1,158,16-Jul-25,,2015,5,0,Nelson Alexander,1620000
House,Carlton North,2,1,,91,5-Jul-25,,1975,5,1,Nelson Alexander,995000
House,Carlton North,2,1,,160,28-Jun-25,1880,,3,0,Nelson Alexander,2080000
House,Carlton North,3,1,,122,14-Jun-25,,1981,4,0,Nelson Alexander,1180000
Apartment,Carlton North,2,1,1,5736,7-Jun-25,,1991,4,1,Nelson Alexander,813000
Townhouse,Carlton North,2,2,1,925,31-May-25,,1982,4,1,woodards,1010000
House,Carlton North,3,2,1,282,24-May-25,,1994,2,1,Nelson Alexander,1730000
House,Carlton North,6,3,,,15-May-25,,2025,5,1,Nelson Alexander,1842000
House,Carlton North,2,1,,128,3-May-25,,1979,3,0,belle PROPERTY,1310000
Apartment,Carlton North,2,1,1,814,28-Apr-25,,1998,3,1,JellisCraig,695000
Apartment,Carlton North,1,1,1,813,11-Apr-25,1970,,4,1,Nelson Alexander,440000
House,Carlton North,3,1,1,255,5-Apr-25,,1983,4,1,Nelson Alexander,1550000
House,Carlton North,3,1,,194,14-Mar-25,,2025,3,0,belle PROPERTY,1915000
Apartment,Carlton North,1,1,1,1861,8-Mar-25,,1986,4,1,woodards,580000
Townhouse,Carlton North,3,2,1,444,1-Mar-25,,2023,4,1,Nelson Alexander,1270000
Apartment,Carlton North,2,1,1,5736,1-Mar-25,,1997,4,1,Nelson Alexander,861000
House,Carlton North,2,1,,90,25-Feb-25,,2025,3,1,Nelson Alexander,970000
House,Carlton North,2,1,1,146,23-Feb-25,,1980,2,1,Nelson Alexander,1425000
House,Carlton North,4,2,,168,15-Feb-25,,2015,4,0,woodards,2240000
House,Carlton North,3,1,,108,8-Feb-25,,1975,5,1,Nelson Alexander,1375000
Apartment,Carlton North,2,1,1,3500,30-Jan-25,,1997,3,1,woodards,640000
Apartment,Carlton North,1,1,,2015,30-Jan-25,,1970,3,1,belle PROPERTY,451500
House,Carlton North,4,2,1,177,25-Jan-25,,1983,3,0,Nelson Alexander,2589000
House,Carlton North,2,1,,166,9-Jan-25,,2025,5,1,Nelson Alexander,1375000
House,Carlton North,3,1,1,352,23-Dec-24,,2024,3,1,Nelson Alexander,2235000
House,Carlton North,3,1,1,,14-Dec-24,,,3,1,Nelson Alexander,1725000
House,Carlton North,3,1,1,224,23-Nov-24,,2024,5,1,Nelson Alexander,1610000
House,Carlton North,3,2,,119,13-Nov-24,1880,1993,4,0,Nelson Alexander,1700000
Apartment,Carlton North,2,1,1,3401,10-Nov-24,,1992,4,1,woodards,665000
House,Carlton North,2,1,1,186,6-Nov-24,,1977,3,1,Nelson Alexander,1740000
Apartment,Carlton North,2,1,1,,6-Nov-24,,,4,1,Nelson Alexander,622000
Apartment,Carlton North,1,1,1,813,4-Nov-24,,2009,4,1,woodards,509000
House,Carlton North,2,1,,147,28-Oct-24,,1977,4,1,woodards,1165000
House,Carlton North,4,2,1,192,26-Oct-24,,1997,5,1,Nelson Alexander,2925000
House,Carlton North,3,1,,81,26-Oct-24,,2024,4,1,Nelson Alexander,1150000
House,Carlton North,3,1,1,228,23-Oct-24,,2024,4,0,woodards,1060000
Apartment,Carlton North,2,1,1,1020,23-Oct-24,,1976,3,1,Nelson Alexander,700000
